year_month,variable,value
2019-07,beachcombing,87
2019-08,beachcombing,59
2019-09,beachcombing,24
2019-10,beachcombing,79
2019-11,beachcombing,0
2019-12,beachcombing,40
2020-01,beachcombing,45
2019-03,beauty pageants,44
2019-04,beauty pageants,27
2019-05,beauty pageants,40
2019-06,beauty pageants,24
2019-07,beauty pageants,31
2019-08,beauty pageants,21
2019-09,beauty pageants,30
2019-10,beauty pageants,30
2019-11,beauty pageants,28
2019-12,beauty pageants,35
2020-01,beauty pageants,32
2019-03,beekeeping,67
2019-04,beekeeping,91
2019-05,beekeeping,74
2019-06,beekeeping,63
2019-07,beekeeping,59
2019-08,beekeeping,54
2019-09,beekeeping,44
2019-10,beekeeping,45
2019-11,beekeeping,41
2019-12,beekeeping,41
2020-01,beekeeping,58
2019-03,billiards,92
2019-04,billiards,71
2019-05,billiards,68
2019-06,billiards,71
2019-07,billiards,73
2019-08,billiards,74
2019-09,billiards,67
2019-10,billiards,69
2019-11,billiards,74
2019-12,billiards,87
2020-01,billiards,84
2019-03,birdwatching,81
2019-04,birdwatching,51
2019-05,birdwatching,50
2019-06,birdwatching,96
2019-07,birdwatching,84
2019-08,birdwatching,86
2019-09,birdwatching,48
2019-10,birdwatching,62
2019-11,birdwatching,68
2019-12,birdwatching,55
2020-01,birdwatching,84
2019-03,blacksmithing,37
2019-04,blacksmithing,38
2019-05,blacksmithing,37
2019-06,blacksmithing,39
2019-07,blacksmithing,36
2019-08,blacksmithing,44
2019-09,blacksmithing,81
2019-10,blacksmithing,55
2019-11,blacksmithing,49
2019-12,blacksmithing,33
2020-01,blacksmithing,36
2019-03,bmx,54
2019-04,bmx,60
2019-05,bmx,70
2019-06,bmx,80
2019-07,bmx,77
2019-08,bmx,74
2019-09,bmx,71
2019-10,bmx,65
2019-11,bmx,63
2019-12,bmx,61
2020-01,bmx,52
2019-03,board sports,49
2019-04,board sports,44
2019-05,board sports,42
2019-06,board sports,53
2019-07,board sports,50
2019-08,board sports,52
2019-09,board sports,62
2019-10,board sports,57
