variable,group,value
walking,2021-07,76.74418604651163
walking,2021-08,93.02325581395348
walking,2021-09,81.3953488372093
walking,2021-10,76.74418604651163
metalworking,2019-01,83.33333333333333
metalworking,2019-02,77.77777777777777
metalworking,2019-03,66.66666666666667
metalworking,2019-04,66.66666666666667
metalworking,2019-05,77.77777777777777
metalworking,2019-06,66.66666666666667
metalworking,2019-07,55.55555555555556
metalworking,2019-08,50.0
metalworking,2019-09,83.33333333333333
metalworking,2019-10,72.22222222222223
metalworking,2019-11,44.44444444444444
metalworking,2019-12,66.66666666666667
metalworking,2020-01,100.0
metalworking,2020-02,100.0
metalworking,2020-03,72.22222222222223
metalworking,2020-04,88.88888888888889
metalworking,2020-05,77.77777777777777
metalworking,2020-06,66.66666666666667
metalworking,2020-07,77.77777777777777
metalworking,2020-08,55.55555555555556
metalworking,2020-09,66.66666666666667
metalworking,2020-10,77.77777777777777
metalworking,2020-11,61.111111111111114
metalworking,2020-12,50.0
metalworking,2021-01,83.33333333333333
metalworking,2021-02,55.55555555555556
metalworking,2021-03,66.66666666666667
metalworking,2021-04,55.55555555555556
metalworking,2021-05,61.111111111111114
metalworking,2021-06,72.22222222222223
metalworking,2021-07,38.888888888888886
metalworking,2021-08,77.77777777777777
metalworking,2021-09,44.44444444444444
metalworking,2021-10,72.22222222222223
taxidermy,2019-01,60.0
taxidermy,2019-02,50.0
taxidermy,2019-03,48.0
taxidermy,2019-04,49.0
taxidermy,2019-05,44.0
taxidermy,2019-06,37.0
taxidermy,2019-07,44.0
taxidermy,2019-08,46.0
taxidermy,2019-09,51.0
taxidermy,2019-10,62.0
taxidermy,2019-11,97.0
taxidermy,2019-12,75.0
taxidermy,2020-01,66.0
taxidermy,2020-02,51.0
taxidermy,2020-03,38.0
taxidermy,2020-04,49.0
taxidermy,2020-05,47.0
taxidermy,2020-06,41.0
taxidermy,2020-07,44.0
taxidermy,2020-08,46.0
taxidermy,2020-09,50.0
taxidermy,2020-10,66.0
taxidermy,2020-11,100.0
taxidermy,2020-12,87.0
taxidermy,2021-01,66.0
taxidermy,2021-02,59.0
taxidermy,2021-03,48.0
taxidermy,2021-04,48.0
taxidermy,2021-05,44.0
taxidermy,2021-06,47.0
taxidermy,2021-07,50.0
taxidermy,2021-08,52.0
taxidermy,2021-09,54.0
taxidermy,2021-10,57.0
insect collecting,2019-01,0.0
insect collecting,2019-02,23.529411764705884
insect collecting,2019-03,23.529411764705884
insect collecting,2019-04,23.529411764705884
insect collecting,2019-05,76.47058823529412
insect collecting,2019-06,0.0
insect collecting,2019-07,52.94117647058823
insect collecting,2019-08,52.94117647058823
insect collecting,2019-09,47.05882352941177
insect collecting,2019-10,23.529411764705884
insect collecting,2019-11,0.0
insect collecting,2019-12,0.0
insect collecting,2020-01,64.70588235294117
insect collecting,2020-02,47.05882352941177
insect collecting,2020-03,0.0
insect collecting,2020-04,41.1764705882353
insect collecting,2020-05,100.0
insect collecting,2020-06,23.529411764705884
insect collecting,2020-07,23.529411764705884
insect collecting,2020-08,88.23529411764706
insect collecting,2020-09,23.529411764705884
insect collecting,2020-10,47.05882352941177
insect collecting,2020-11,0.0
insect collecting,2020-12,0.0
insect collecting,2021-01,47.05882352941177
insect collecting,2021-02,23.529411764705884
insect collecting,2021-03,0.0
insect collecting,2021-04,76.47058823529412
insect collecting,2021-05,0.0
insect collecting,2021-06,23.529411764705884
insect collecting,2021-07,23.529411764705884
insect collecting,2021-08,0.0
insect collecting,2021-09,0.0
insect collecting,2021-10,88.23529411764706
book discussion clubs,2019-01,28.571428571428573
book discussion clubs,2019-02,0.0
book discussion clubs,2019-03,0.0
book discussion clubs,2019-04,57.142857142857146
book discussion clubs,2019-05,0.0
book discussion clubs,2019-06,28.571428571428573
book discussion clubs,2019-07,0.0
book discussion clubs,2019-08,0.0
book discussion clubs,2019-09,85.71428571428571
book discussion clubs,2019-10,28.571428571428573
book discussion clubs,2019-11,85.71428571428571
book discussion clubs,2019-12,0.0
book discussion clubs,2020-01,28.571428571428573
book discussion clubs,2020-02,28.571428571428573
book discussion clubs,2020-03,28.571428571428573
book discussion clubs,2020-04,28.571428571428573
book discussion clubs,2020-05,28.571428571428573
book discussion clubs,2020-06,71.42857142857143
book discussion clubs,2020-07,28.571428571428573
book discussion clubs,2020-08,57.142857142857146
book discussion clubs,2020-09,0.0
book discussion clubs,2020-10,85.71428571428571
book discussion clubs,2020-11,0.0
book discussion clubs,2020-12,0.0
book discussion clubs,2021-01,0.0
book discussion clubs,2021-02,28.571428571428573
book discussion clubs,2021-03,28.571428571428573
book discussion clubs,2021-04,28.571428571428573
book discussion clubs,2021-05,0.0
book discussion clubs,2021-06,0.0
book discussion clubs,2021-07,0.0
book discussion clubs,2021-08,85.71428571428571
book discussion clubs,2021-09,0.0
