year_month,variable,value
2021-10,auto detailing,83
2020-03,auto racing,36
2020-04,auto racing,49
2020-05,auto racing,49
2020-06,auto racing,49
2020-07,auto racing,57
2020-08,auto racing,52
2020-09,auto racing,48
2020-10,auto racing,42
2020-11,auto racing,38
2020-12,auto racing,31
2021-01,auto racing,46
2021-02,auto racing,43
2021-03,auto racing,44
2021-04,auto racing,53
2021-05,auto racing,52
2021-06,auto racing,50
2021-07,auto racing,53
2021-08,auto racing,41
2021-09,auto racing,37
2021-10,auto racing,38
2020-03,axe throwing,48
2020-04,axe throwing,10
2020-05,axe throwing,17
2020-06,axe throwing,32
2020-07,axe throwing,34
2020-08,axe throwing,42
2020-09,axe throwing,49
2020-10,axe throwing,54
2020-11,axe throwing,50
2020-12,axe throwing,54
2021-01,axe throwing,69
2021-02,axe throwing,80
2021-03,axe throwing,81
2021-04,axe throwing,75
2021-05,axe throwing,74
2021-06,axe throwing,80
2021-07,axe throwing,84
2021-08,axe throwing,75
2021-09,axe throwing,70
2021-10,axe throwing,78
2020-03,backgammon,80
2020-04,backgammon,97
2020-05,backgammon,81
2020-06,backgammon,78
2020-07,backgammon,85
2020-08,backgammon,74
2020-09,backgammon,66
2020-10,backgammon,65
2020-11,backgammon,77
2020-12,backgammon,100
2021-01,backgammon,90
2021-02,backgammon,83
2021-03,backgammon,69
2021-04,backgammon,64
2021-05,backgammon,65
2021-06,backgammon,69
2021-07,backgammon,72
2021-08,backgammon,68
2021-09,backgammon,69
2021-10,backgammon,65
2020-03,backpacking,43
2020-04,backpacking,43
2020-05,backpacking,65
2020-06,backpacking,91
2020-07,backpacking,100
2020-08,backpacking,98
2020-09,backpacking,70
2020-10,backpacking,46
2020-11,backpacking,37
2020-12,backpacking,42
2021-01,backpacking,42
2021-02,backpacking,41
2021-03,backpacking,56
2021-04,backpacking,59
2021-05,backpacking,67
2021-06,backpacking,70
2021-07,backpacking,71
2021-08,backpacking,66
2021-09,backpacking,52
2021-10,backpacking,46
2020-03,badminton,26
2020-04,badminton,28
2020-05,badminton,31
2020-06,badminton,30
2020-07,badminton,26
2020-08,badminton,20
2020-09,badminton,22
2020-10,badminton,18
2020-11,badminton,17
2020-12,badminton,16
2021-01,badminton,18
2021-02,badminton,17
2021-03,badminton,22
2021-04,badminton,25
2021-05,badminton,29
2021-06,badminton,26
2021-07,badminton,58
2021-08,badminton,42
2021-09,badminton,26
2021-10,badminton,24
2020-03,base jumping,13
2020-04,base jumping,15
2020-05,base jumping,14
2020-06,base jumping,12
2020-07,base jumping,14
2020-08,base jumping,15
2020-09,base jumping,13
2020-10,base jumping,10
2020-11,base jumping,13
2020-12,base jumping,11
2021-01,base jumping,15
2021-02,base jumping,14
2021-03,base jumping,17
2021-04,base jumping,15
2021-05,base jumping,36
2021-06,base jumping,27
2021-07,base jumping,17
2021-08,base jumping,10
2021-09,base jumping,8
2021-10,base jumping,7
2020-03,baseball,38
2020-04,baseball,22
2020-05,baseball,26
2020-06,baseball,31
2020-07,baseball,41
2020-08,baseball,38
2020-09,baseball,34
2020-10,baseball,36
2020-11,baseball,19
2020-12,baseball,19
2021-01,baseball,22
2021-02,baseball,39
2021-03,baseball,55
2021-04,baseball,75
2021-05,baseball,89
2021-06,baseball,99
2021-07,baseball,58
2021-08,baseball,49
2021-09,baseball,43
2021-10,baseball,48
2020-03,basketball,35
2020-04,basketball,12
2020-05,basketball,11
2020-06,basketball,9
2020-07,basketball,9
2020-08,basketball,10
2020-09,basketball,11
2020-10,basketball,10
2020-11,basketball,18
2020-12,basketball,36
2021-01,basketball,40
2021-02,basketball,46
2021-03,basketball,75
2021-04,basketball,24
2021-05,basketball,13
2021-06,basketball,14
2021-07,basketball,20
2021-08,basketball,17
2021-09,basketball,10
2021-10,basketball,12
2020-03,beach volleyball,2
2020-04,beach volleyball,1
2020-05,beach volleyball,2
2020-06,beach volleyball,2
2020-07,beach volleyball,3
2020-08,beach volleyball,2
2020-09,beach volleyball,2
2020-10,beach volleyball,1
2020-11,beach volleyball,1
2020-12,beach volleyball,1
2021-01,beach volleyball,1
2021-02,beach volleyball,2
2021-03,beach volleyball,3
2021-04,beach volleyball,3
2021-05,beach volleyball,4
2021-06,beach volleyball,3
2021-07,beach volleyball,20
2021-08,beach volleyball,28
2021-09,beach volleyball,2
2021-10,beach volleyball,2
2020-03,beachcombing,29
2020-04,beachcombing,35
2020-05,beachcombing,49
2020-06,beachcombing,45
2020-07,beachcombing,62
2020-08,beachcombing,98
2020-09,beachcombing,37
2020-10,beachcombing,74
2020-11,beachcombing,59
2020-12,beachcombing,34
2021-01,beachcombing,41
2021-02,beachcombing,18
2021-03,beachcombing,66
2021-04,beachcombing,61
2021-05,beachcombing,77
2021-06,beachcombing,62
2021-07,beachcombing,69
2021-08,beachcombing,43
2021-09,beachcombing,28
2021-10,beachcombing,28
2020-03,beauty pageants,38
2020-04,beauty pageants,34
